Runde 1 - gestartet um 2024-06-01 13:11:39.008755025 +02:00 - beendet um 2024-06-01 13:11:44.031627978 +02:00:
Lamportzeit zu Rundenstart: 1 und zu Rundenende: 598
Spieler_627 hat eine 94 gewürfelt! (START-Nachricht erhalten: 13:11:39.17531, Antwort gesendet: 13:11:41.17689, Lamport-Zeit: 2)
Spieler_612 hat eine 2 gewürfelt! (START-Nachricht erhalten: 13:11:39.17302, Antwort gesendet: 13:11:43.17464, Lamport-Zeit: 2)
Spieler_448 hat eine 35 gewürfelt! (START-Nachricht erhalten: 13:11:39.15038, Antwort gesendet: 13:11:39.15136, Lamport-Zeit: 2)
Spieler_789 hat eine 7 gewürfelt! (START-Nachricht erhalten: 13:11:39.19913, Antwort gesendet: 13:11:40.20071, Lamport-Zeit: 2)
Spieler_660 hat eine 87 gewürfelt! (START-Nachricht erhalten: 13:11:39.18042, Antwort gesendet: 13:11:40.18203, Lamport-Zeit: 2)
Spieler_474 hat eine 9 gewürfelt! (START-Nachricht erhalten: 13:11:39.15398, Antwort gesendet: 13:11:44.15552, Lamport-Zeit: 2)
Spieler_278 hat eine 41 gewürfelt! (START-Nachricht erhalten: 13:11:39.12694, Antwort gesendet: 13:11:39.12785, Lamport-Zeit: 2)
Spieler_282 hat eine 89 gewürfelt! (START-Nachricht erhalten: 13:11:39.12753, Antwort gesendet: 13:11:41.12903, Lamport-Zeit: 2)
Spieler_405 hat eine 11 gewürfelt! (START-Nachricht erhalten: 13:11:39.14415, Antwort gesendet: 13:11:44.14562, Lamport-Zeit: 2)
Spieler_557 hat eine 24 gewürfelt! (START-Nachricht erhalten: 13:11:39.16532, Antwort gesendet: 13:11:43.16636, Lamport-Zeit: 2)
Spieler_339 hat eine 66 gewürfelt! (START-Nachricht erhalten: 13:11:39.13493, Antwort gesendet: 13:11:42.13638, Lamport-Zeit: 2)
Spieler_467 hat eine 42 gewürfelt! (START-Nachricht erhalten: 13:11:39.15306, Antwort gesendet: 13:11:42.15464, Lamport-Zeit: 2)
